Keyword,Category,Subcategory,Website
airflow,Big Data,Data Pipeline,
angular,Web Development,JavaScript Framework,
ansible,DevOps,Infrastructure Automation,https://www.ansible.com/
appium,Testing Framework,,
asp.net,Web Development,.NET,
aurora,Database,OLTP,
babel,Web Development,JavaScript Transpiler,
backbone,Web Development,JavaScript Framework,
bazel,DevOps,Build Automation,
bitbucket,DevOps,Version Control,
bosh,DevOps,Infrastructure Automation,
buck,DevOps,Build Automation,
business objects,Big Data,Visualization,
c#,Language,,
c++,Language,,
c/c++,Language,,
caffee,Deep Learning Framework,,
cassandra,Data,NoSQL,
chef,DevOps,Infrastructure Automation,
clojure,Language,,
cloudata,Data,NoSQL,
cloudsearch,Search Engine,,
cloudwatch,DevOps,Monitoring/Alerting/Logging,
coffescript,Web Development,JavaScript Transpiler,
cordova,Mobile Development,,
couchdb,Data,NoSQL,
cuda,Language,,
datadog,DevOps,Monitoring/Alerting/Logging,
datastage,Data,ETL Tool,
django,Web Development,,https://www.djangoproject.com/
docker,Containerization,Container Framework,
dojo,Web Development,JavaScript Framework,
draftjs,Web Development,JavaScript Framework,
"dynamodb,dynamo db",Data,NoSQL,
elasticsearch,Search Engine,,
elk,DevOps,Monitoring/Alerting/Logging,
ember,Web Development,JavaScript Framework,
espresso,Testing Framework,,
esri,Mapping Technologies,,
flask,Web Development,,http://flask.pocoo.org/
flink,Big Data,Streaming,
ganglia,DevOps,Monitoring/Alerting/Logging,
git,DevOps,Version Control,
github,DevOps,Version Control,
glup,Web Development,JavaScript Building Tool,
golang,Language,,
google maps,Mapping Technologies,,
gradle,DevOps,Build Automation,
grafana,DevOps,Monitoring/Alerting/Logging,
graphite,DevOps,Monitoring/Alerting/Logging,
graphql,Web Development,Query,
greenplum,Data,OLAP,
grunt,Web Development,JavaScript Building Tool,
h2o,Machine Learning,,
hadoop,Big Data,,http://hadoop.apache.org/
hbase,Data,NoSQL,
hive,Data Warehouse,,
hue,DevOps,Cluster Management,
hyper-v,Virtualization,,
informatica,Data,ETL Tool,
informix,Data,OLTP,
intelli j,IDE,,
java,,,
javascript,Language,,
jenkins,DevOps,Build Automation,https://jenkins.io/
jingle,Realtime Communication,,
"jira,confluence",Collaboration Tool,,
jquery,Web Development,Query,
julia,Language,,
junit,Testing Framework,,
kafka,Streaming,,
kendo,Web Development,JavaScript Framework,
keras,Deep Learning Framework,,
kotlin,Language,JavaScript,
"kubernetes,k8s",Containerization,Management Tool,
kusto,Big Data,Query,
lambda,Serverless,,
laravel,Web Development,PHP Framework,
lua,Language,,
luigi,Big Data,Data Pipeline,
mahout,Machine Learning,,
mapbox,Mapping Technologies,,
matlab,Scientific Toolkit,,
maven,DevOps,Build Automation,
memcached,Cache,,
mercurial,DevOps,Version Control,
mesos,Containerization,Management Tool,
mesosphere,Containerization,Cluster Management,
meteor,Web Development,JavaScript Framework,
microstrategy,Big Data,Visualization,
mobx,Web Development,JavaScript Framework,
"mongodb,mongo",Data,NoSQL,
mxnet,Deep Learning Framework,,
mysql,Data,OLTP,
nagios,DevOps,Monitoring/Alerting/Logging,
netezza,Data Warehouse,,
new relic,DevOps,Monitoring/Alerting/Logging,
nginx,Web Server,,
"nodejs,node js,node.js",Web Development,,
oauth,Security,Authentication,
"objective-c,objectivec c",Language,,
opencl,Language,,
openlayers,Mapping Technologies,,
openstack,Cloud Infrastructure,Private Cloud,
oracle,Database,OLTP,
packer,DevOps,Infrastructure Automation,
pandas,Machine Learning,,
penopto,Database,ETL Tool,
perforce,DevOps,Version Control,
perl,Language,,
php,Language,,
pig,Big Data,Query,
"postgres,postresql",Database,OLTP,
power bi,Database,Visualization,
powershell,Scripting Language,,
presto,Big Data,Query,
prometheus,DevOps,Monitoring/Alerting/Logging,
puppet,DevOps,Infrastructure Automation,
python,Language,,
qlikview,Big Data,Visualization,
quicksight,Big Data,Visualization,
r,Language,,
rancheros,OS,Linux,
react,Web Development,JavaScript Framework,
redhat,OS,Linux,
redis,Cache,Key Value Store,
redshift,Data Warehouse,AWS,
redux,Web Development,JavaScript Framework,
revit,CAD,,
ruby,Language,,
"ruby on rails,ror",Web Development,,
runc,Containerization,Management Tool,
rundeck,DevOps,Build Automation,
s3,Cloud,Storage,
salesforce,Cloud,SaaS,
sbt,DevOps,Build Automation,
scala,Language,,
scikit-learn,Machine Learning,,
selenium,Testing Framework,,
sip,Realtime Communication,,
solaris,OS,,
solidworks,CAD,,
spark,Big Data,Programming Interface,
splunk,DevOps,Monitoring/Alerting/Logging,
spock,Testing Framework,,
spring,Java Framework,,
sql server,Database,OLTP,
sqoop,Database,ETL Tool,
ssis,Database,ETL Tool,
sumologic,DevOps,Monitoring/Alerting/Logging,
swift,Language,,
sybase,Database,OLTP,
tableau,Big Data,Visualization,
talend,Database,ETL Tool,
tensorflow,Deep Learning Framework,,
terraform,DevOps,Infrastructure Automation,
theano,Deep Learning Framework,,
torch,Deep Learning Framework,,
typescript,Web Development,JavaScript Transpiler,
ubuntu,OS,Linux,
uiatomator,Testing Framework,,
unity,Game Development,,
vertica,Database,OLAP,
vue,Web Development,JavaScript Framework,
weblogic,Web Server,J2EE,
webpack,Web Development or DevOps?,JavaScript Building Tool,
webrtc,Realtime Communication,,
websockets,Web Development,,
wherespace,Database,ETL Tool,
xamarin,Mobile Development,Framework,
xcode,IDE,,
xcui,Testing Framework,,
xen,Virtualization,,
xmpp,Realtime Communication,,
zipkin,Web Development,Tracing Service,
