technology,keyword,category,subcategory,website
ASP.NET,asp.net,Web Development,.NET,
Airflow,airflow,Big Data,Data Pipeline,
Angular,angular,Web Development,JavaScript Framework,
Ansible,ansible,DevOps,Infrastructure Automation,https://www.ansible.com/
Appium,appium,Testing Framework,,
Aurora,aurora,Database,OLTP,
Babel,babel,Web Development,JavaScript Transpiler,
Backbone,backbone,Web Development,JavaScript Framework,
Bazel,bazel,DevOps,Build Automation,
Bitbucket,bitbucket,DevOps,Version Control,
Bosh,bosh,DevOps,Infrastructure Automation,
Buck,buck,DevOps,Build Automation,
Business Objects,business objects,Big Data,Visualization,
C#,c#,Language,,
C++,c++,Language,,
C/C++,c/c++,Language,,
Caffee,caffee,Deep Learning Framework,,
Cassandra,cassandra,Data,NoSQL,
Chef,chef,DevOps,Infrastructure Automation,
Clojure,clojure,Language,,
Cloudata,cloudata,Data,NoSQL,
Cloudsearch,cloudsearch,Search Engine,,
Cloudwatch,cloudwatch,DevOps,Monitoring/Alerting/Logging,
CoffeeScript,coffescript,Web Development,JavaScript Transpiler,
Cordova,cordova,Mobile Development,,
CouchDB,couchdb,Data,NoSQL,
Cuda,cuda,Language,,
Datadog,datadog,DevOps,Monitoring/Alerting/Logging,
Datastage,datastage,Data,ETL Tool,
Django,django,Web Development,,https://www.djangoproject.com/
Docker,docker,Containerization,Container Framework,
Dojo,dojo,Web Development,JavaScript Framework,
DraftJS,draftjs,Web Development,JavaScript Framework,
DynamoDB,dynamo db,Data,NoSQL,
DynamoDB,dynamodb,Data,NoSQL,
ElasticSearch,elasticsearch,Search Engine,,
Elk,elk,DevOps,Monitoring/Alerting/Logging,
Ember,ember,Web Development,JavaScript Framework,
Espresso,espresso,Testing Framework,,
Esri,esri,Mapping Technologies,,
Flask,flask,Web Development,,http://flask.pocoo.org/
Flink,flink,Big Data,Streaming,
Ganglia,ganglia,DevOps,Monitoring/Alerting/Logging,
Git,git,DevOps,Version Control,
GitHub,github,DevOps,Version Control,
Glup,glup,Web Development,JavaScript Building Tool,
Golang,golang,Language,,
GoogleMaps,google maps,Mapping Technologies,,
Gradle,gradle,DevOps,Build Automation,
Grafana,grafana,DevOps,Monitoring/Alerting/Logging,
Graphite,graphite,DevOps,Monitoring/Alerting/Logging,
Graphql,graphql,Web Development,Query,
Greenplum,greenplum,Data,OLAP,
Grunt,grunt,Web Development,JavaScript Building Tool,
H2O,h2o,Machine Learning,,
Hadoop,hadoop,Big Data,,http://hadoop.apache.org/
Hbase,hbase,Data,NoSQL,
Hive,hive,Data Warehouse,,
Hue,hue,DevOps,Cluster Management,
Hyper-V,hyper-v,Virtualization,,
Infomatica,informatica,Data,ETL Tool,
Informix,informix,Data,OLTP,
Intelli J,intelli j,IDE,,
Java,java,,,
